PID,RegistrationID,TestName,InstrumentID,AssessmentName,InstrumentTitle,Key,Value
TST_WHM,A443E914-F81D-48FD-BC9D-E530BEDA2045,WhoHasMore_ES,56474499-5279-4151-93DD-507815FFE62D,Assessment 2,Who Has More (Spanish),RawScore,0
TST_WHM,A443E914-F81D-48FD-BC9D-E530BEDA2045,WhoHasMore_ES,56474499-5279-4151-93DD-507815FFE62D,Assessment 2,Who Has More (Spanish),ItemCount,10
TST_WHM,A443E914-F81D-48FD-BC9D-E530BEDA2045,WhoHasMore_ES,56474499-5279-4151-93DD-507815FFE62D,Assessment 2,Who Has More (Spanish),Language,es
TST_WHM,A443E914-F81D-48FD-BC9D-E530BEDA2045,WhoHasMore_ES,56474499-5279-4151-93DD-507815FFE62D,Assessment 2,Who Has More (Spanish),InstrumentBreakoff,1
TST_WHM,A443E914-F81D-48FD-BC9D-E530BEDA2045,WhoHasMore_ES,56474499-5279-4151-93DD-507815FFE62D,Assessment 2,Who Has More (Spanish),InstrumentStatus2,3
TST_WHM,A443E914-F81D-48FD-BC9D-E530BEDA2045,WhoHasMore_ES,56474499-5279-4151-93DD-507815FFE62D,Assessment 2,Who Has More (Spanish),InstrumentSandSReason,2
TST_WHM,A443E914-F81D-48FD-BC9D-E530BEDA2045,WhoHasMore,62E545CB-3355-41F3-9470-0E2102CC08F5,Assessment 2,Who Has More,RawScore,7
TST_WHM,A443E914-F81D-48FD-BC9D-E530BEDA2045,WhoHasMore,62E545CB-3355-41F3-9470-0E2102CC08F5,Assessment 2,Who Has More,ItemCount,20
TST_WHM,A443E914-F81D-48FD-BC9D-E530BEDA2045,WhoHasMore,62E545CB-3355-41F3-9470-0E2102CC08F5,Assessment 2,Who Has More,Language,en-US
TST_WHM,A443E914-F81D-48FD-BC9D-E530BEDA2045,WhoHasMore,62E545CB-3355-41F3-9470-0E2102CC08F5,Assessment 2,Who Has More,InstrumentBreakoff,2
TST_WHM,A443E914-F81D-48FD-BC9D-E530BEDA2045,WhoHasMore,62E545CB-3355-41F3-9470-0E2102CC08F5,Assessment 2,Who Has More,InstrumentStatus2,3
TST_WHM,A443E914-F81D-48FD-BC9D-E530BEDA2045,WhoHasMore,62E545CB-3355-41F3-9470-0E2102CC08F5,Assessment 2,Who Has More,InstrumentRCReasonOther,Delayed | Delayed
TST_WHM,880A94EE-2EEB-40A3-8BBD-699EAE1F560B,WhoHasMore,2F36A1FB-4B2F-48AF-AC72-8BA238351E44,Assessment 1,Who Has More,RawScore,0
TST_WHM,880A94EE-2EEB-40A3-8BBD-699EAE1F560B,WhoHasMore,2F36A1FB-4B2F-48AF-AC72-8BA238351E44,Assessment 1,Who Has More,ItemCount,10
TST_WHM,880A94EE-2EEB-40A3-8BBD-699EAE1F560B,WhoHasMore,2F36A1FB-4B2F-48AF-AC72-8BA238351E44,Assessment 1,Who Has More,Language,en-US
TST_WHM,880A94EE-2EEB-40A3-8BBD-699EAE1F560B,WhoHasMore,2F36A1FB-4B2F-48AF-AC72-8BA238351E44,Assessment 1,Who Has More,InstrumentBreakoff,2
TST_WHM,880A94EE-2EEB-40A3-8BBD-699EAE1F560B,WhoHasMore,2F36A1FB-4B2F-48AF-AC72-8BA238351E44,Assessment 1,Who Has More,InstrumentStatus2,3
TST_WHM,880A94EE-2EEB-40A3-8BBD-699EAE1F560B,WhoHasMore_ES,C100A33B-C5DF-47E9-99B9-3FDD582A0E3C,Assessment 1,Who Has More (Spanish),RawScore,22
TST_WHM,880A94EE-2EEB-40A3-8BBD-699EAE1F560B,WhoHasMore_ES,C100A33B-C5DF-47E9-99B9-3FDD582A0E3C,Assessment 1,Who Has More (Spanish),ItemCount,28
TST_WHM,880A94EE-2EEB-40A3-8BBD-699EAE1F560B,WhoHasMore_ES,C100A33B-C5DF-47E9-99B9-3FDD582A0E3C,Assessment 1,Who Has More (Spanish),Language,es
TST_WHM,880A94EE-2EEB-40A3-8BBD-699EAE1F560B,WhoHasMore_ES,C100A33B-C5DF-47E9-99B9-3FDD582A0E3C,Assessment 1,Who Has More (Spanish),InstrumentBreakoff,2
