PID,RegistrationID,AssessmentName,Key,Value
567,F4FA9624-820E-4CC9-A7B0-DF038BDF49A4,MTL RT 2923 3,DeviceID,NIH-BABY-TOOLBOX-NORMING-F6E187B7-7DFC-4A03-8ECD-8FCE52FBE768
567,F4FA9624-820E-4CC9-A7B0-DF038BDF49A4,MTL RT 2923 3,Name,Opal
567,F4FA9624-820E-4CC9-A7B0-DF038BDF49A4,MTL RT 2923 3,DateOfBirth,2021-01-15T00:00:00-0600
567,F4FA9624-820E-4CC9-A7B0-DF038BDF49A4,MTL RT 2923 3,Age,2
567,F4FA9624-820E-4CC9-A7B0-DF038BDF49A4,MTL RT 2923 3,TotalAgeInMonths,25
567,F4FA9624-820E-4CC9-A7B0-DF038BDF49A4,MTL RT 2923 3,ExpectedDueDate,2022-10-24T00:00:00-0500
567,F4FA9624-820E-4CC9-A7B0-DF038BDF49A4,MTL RT 2923 3,Race,0
567,F4FA9624-820E-4CC9-A7B0-DF038BDF49A4,MTL RT 2923 3,AppVersion,3.0.4.18
567,F4FA9624-820E-4CC9-A7B0-DF038BDF49A4,MTL RT 2923 3,FirmwareVersion,16.2
567,F4FA9624-820E-4CC9-A7B0-DF038BDF49A4,MTL RT 2923 3,iPadVersion,"iPad Pro 2nd Gen (11-inch) / iPad8,9"
567,55656F3C-C87C-4367-A39B-EBDA6C7DC56C,MTL RT 2923 2,DeviceID,NIH-BABY-TOOLBOX-NORMING-F6E187B7-7DFC-4A03-8ECD-8FCE52FBE768
567,55656F3C-C87C-4367-A39B-EBDA6C7DC56C,MTL RT 2923 2,Name,Opal
567,55656F3C-C87C-4367-A39B-EBDA6C7DC56C,MTL RT 2923 2,DateOfBirth,2021-01-15T00:00:00-0600
567,55656F3C-C87C-4367-A39B-EBDA6C7DC56C,MTL RT 2923 2,Age,2
567,55656F3C-C87C-4367-A39B-EBDA6C7DC56C,MTL RT 2923 2,TotalAgeInMonths,25
567,55656F3C-C87C-4367-A39B-EBDA6C7DC56C,MTL RT 2923 2,ExpectedDueDate,2022-10-24T00:00:00-0500
567,55656F3C-C87C-4367-A39B-EBDA6C7DC56C,MTL RT 2923 2,Race,0
567,55656F3C-C87C-4367-A39B-EBDA6C7DC56C,MTL RT 2923 2,AppVersion,3.0.4.18
567,55656F3C-C87C-4367-A39B-EBDA6C7DC56C,MTL RT 2923 2,FirmwareVersion,16.2
567,55656F3C-C87C-4367-A39B-EBDA6C7DC56C,MTL RT 2923 2,iPadVersion,"iPad Pro 2nd Gen (11-inch) / iPad8,9"
567,B29FAD1D-EF67-4009-8867-520DE09D1064,MTL RT 2923 7,DeviceID,NIH-BABY-TOOLBOX-NORMING-F6E187B7-7DFC-4A03-8ECD-8FCE52FBE768
567,B29FAD1D-EF67-4009-8867-520DE09D1064,MTL RT 2923 7,Name,Opal
567,B29FAD1D-EF67-4009-8867-520DE09D1064,MTL RT 2923 7,DateOfBirth,2021-01-15T00:00:00-0600
567,B29FAD1D-EF67-4009-8867-520DE09D1064,MTL RT 2923 7,Age,2
567,B29FAD1D-EF67-4009-8867-520DE09D1064,MTL RT 2923 7,TotalAgeInMonths,25
567,B29FAD1D-EF67-4009-8867-520DE09D1064,MTL RT 2923 7,ExpectedDueDate,2022-10-24T00:00:00-0500
567,B29FAD1D-EF67-4009-8867-520DE09D1064,MTL RT 2923 7,Race,0
567,B29FAD1D-EF67-4009-8867-520DE09D1064,MTL RT 2923 7,AppVersion,3.0.4.18
567,B29FAD1D-EF67-4009-8867-520DE09D1064,MTL RT 2923 7,FirmwareVersion,16.2
567,B29FAD1D-EF67-4009-8867-520DE09D1064,MTL RT 2923 7,iPadVersion,"iPad Pro 2nd Gen (11-inch) / iPad8,9"
567,14DA9761-DA3B-494D-90E1-A6F94774C409,MTL RT 2923 6,DeviceID,NIH-BABY-TOOLBOX-NORMING-F6E187B7-7DFC-4A03-8ECD-8FCE52FBE768
567,14DA9761-DA3B-494D-90E1-A6F94774C409,MTL RT 2923 6,Name,Opal
567,14DA9761-DA3B-494D-90E1-A6F94774C409,MTL RT 2923 6,DateOfBirth,2021-01-15T00:00:00-0600
567,14DA9761-DA3B-494D-90E1-A6F94774C409,MTL RT 2923 6,Age,2
567,14DA9761-DA3B-494D-90E1-A6F94774C409,MTL RT 2923 6,TotalAgeInMonths,25
567,14DA9761-DA3B-494D-90E1-A6F94774C409,MTL RT 2923 6,ExpectedDueDate,2022-10-24T00:00:00-0500
567,14DA9761-DA3B-494D-90E1-A6F94774C409,MTL RT 2923 6,Race,0
567,14DA9761-DA3B-494D-90E1-A6F94774C409,MTL RT 2923 6,AppVersion,3.0.4.18
567,14DA9761-DA3B-494D-90E1-A6F94774C409,MTL RT 2923 6,FirmwareVersion,16.2
